,date,predicted_class,vader_score
570,2023-01-26,Social,0.8885
571,2023-02-20,Environmental,0.3274125
572,2023-02-20,Social,0.31984999999999997
573,2023-02-22,Environmental,0.6329
574,2023-02-22,Social,0.2523142857142857
575,2023-02-24,Environmental,0.20896666666666663
576,2023-02-24,Social,0.07655
577,2023-02-27,Environmental,0.3292235294117647
578,2023-02-27,Social,0.423525
579,2023-02-28,Environmental,0.4833228070175438
580,2023-02-28,Social,0.5737571428571429
581,2023-03-07,Environmental,0.5329423076923077
582,2023-03-07,Social,0.8271
583,2023-03-10,Environmental,0.39943333333333336
584,2023-03-10,Social,0.5549483870967742
585,2023-03-13,Environmental,0.3522230769230769
586,2023-03-17,Environmental,-0.10455555555555555
587,2023-03-17,Social,0.0
588,2023-03-20,Social,0.0
589,2023-03-21,Environmental,0.4476166666666666
590,2023-03-21,Social,0.400925
591,2023-03-22,Environmental,0.43162413793103444
592,2023-03-22,Social,0.4389875
593,2023-03-23,Environmental,0.4317102040816327
594,2023-03-24,Environmental,0.2605
595,2023-03-24,Social,0.4019076923076923
596,2023-03-29,Environmental,0.44542777777777776
597,2023-03-29,Social,0.5267
598,2023-03-30,Environmental,0.40164999999999995
599,2023-03-30,Social,0.5031814814814815
600,2023-04-03,Environmental,0.2966111111111111
601,2023-04-03,Social,0.34057499999999996
602,2023-04-04,Environmental,0.34215555555555555
603,2023-04-04,Social,0.13336666666666666
604,2023-04-10,Social,0.0
605,2023-04-11,Environmental,0.29634571428571427
606,2023-04-11,Social,0.33597333333333335
607,2023-04-20,Environmental,0.16938648648648646
608,2023-04-20,Social,0.49305
609,2023-04-21,Environmental,0.44501666666666667
610,2023-04-21,Social,0.4422304347826087
611,2023-04-24,Environmental,0.3859555555555556
612,2023-04-26,Environmental,0.27106111111111114
613,2023-04-26,Social,0.290575
614,2023-05-03,Environmental,0.4280625
615,2023-05-03,Social,0.512075
616,2023-05-05,Social,0.8074
617,2023-05-08,Environmental,0.2472451612903226
618,2023-05-08,Social,0.0
619,2023-05-09,Environmental,0.4303166666666667
620,2023-05-10,Environmental,0.24358596491228068
621,2023-05-10,Social,0.46954999999999997
622,2023-05-11,Environmental,0.28986
623,2023-05-11,Social,0.133575
624,2023-05-12,Environmental,0.61025
625,2023-05-12,Social,0.48465
626,2023-05-16,Environmental,0.3150472222222222
627,2023-05-18,Environmental,0.3380446808510638
628,2023-05-18,Social,0.4439416666666667
629,2023-05-25,Environmental,0.631225
630,2023-05-25,Social,0.43051666666666666
631,2023-05-30,Environmental,0.6487
632,2023-05-30,Social,0.7003
633,2023-05-31,Environmental,0.41840641025641023
634,2023-05-31,Social,0.3336727272727273
635,2023-06-01,Environmental,0.287875
636,2023-06-01,Social,0.3883375
637,2023-06-07,Environmental,0.50715
638,2023-06-07,Social,0.61955
639,2023-06-12,Environmental,0.3866636363636363
640,2023-06-12,Social,0.3569090909090909
641,2023-06-13,Environmental,0.28543287671232875
642,2023-06-13,Governance,0.1806
643,2023-06-13,Social,0.4001705882352941
644,2023-06-15,Environmental,0.19071985294117647
645,2023-06-15,Governance,0.0
646,2023-06-15,Social,0.37352
647,2023-06-16,Environmental,0.31476000000000004
648,2023-06-16,Social,0.27446666666666664
649,2023-06-19,Environmental,0.4661
650,2023-06-19,Social,0.6344799999999999
651,2023-06-22,Environmental,0.37748
652,2023-06-22,Social,0.16525
653,2023-06-28,Environmental,0.572225
654,2023-06-28,Social,0.4868
655,2023-06-29,Environmental,0.6526000000000001
656,2023-07-05,Environmental,0.43224444444444443
657,2023-07-05,Social,0.23750476190476194
658,2023-07-07,Social,0.2023
659,2023-07-10,Environmental,0.4324388888888889
660,2023-07-10,Governance,0.6369
661,2023-07-10,Social,0.7764666666666667
662,2023-07-11,Environmental,0.0
663,2023-07-11,Social,0.6588375
664,2023-07-12,Social,0.763
665,2023-07-20,Environmental,0.23268545454545453
666,2023-07-20,Social,0.0
667,2023-07-22,Social,0.37649999999999995
668,2023-07-26,Environmental,0.05751428571428572
669,2023-07-26,Social,0.4339230769230769
670,2023-07-27,Environmental,0.08193636363636364
671,2023-07-28,Social,0.631
672,2023-07-31,Environmental,0.1370125
673,2023-07-31,Social,0.57245
674,2023-08-14,Environmental,0.370535
675,2023-08-14,Social,0.39978749999999996
676,2023-08-16,Environmental,0.6172130434782609
677,2023-08-16,Social,0.6597
678,2023-08-21,Environmental,0.34585714285714286
679,2023-08-21,Social,0.61085
680,2023-08-23,Environmental,0.24660243902439025
681,2023-08-28,Environmental,0.0
682,2023-09-04,Environmental,0.43095
683,2023-09-04,Social,0.754
684,2023-09-07,Environmental,0.4310083333333334
685,2023-09-11,Environmental,0.08821764705882353
686,2023-09-11,Social,0.10476666666666666
687,2023-09-15,Environmental,0.2952214285714286
688,2023-09-15,Social,0.354575
689,2023-09-19,Environmental,0.2832
690,2023-09-19,Governance,0.23270909090909092
691,2023-09-19,Social,0.38356666666666667
692,2023-09-20,Environmental,0.6854666666666667
